Date,portfolio_value,return,weight_AAPL,weight_AGG,weight_AMZN,weight_GLD,weight_GOOGL,weight_META,weight_MSFT,weight_SPY,weight_TLT,weight_XLE,weight_XLF,weight_XLK,weight_XLP,weight_XLV,cumulative_return,drawdown
2023-06-07,1.0,0.0,0.4,0.4,-0.4,0.39999998,-0.4,0.4,0.4,0.4,0.4,0.39999887,0.4,-0.4,0.4,0.3999981,0.0,0.0
2023-06-08,0.9978427173441119,-0.002157282655888104,0.4,0.4,-0.4,0.39999998,-0.4,0.4,0.4,0.4,0.4,0.39999902,0.4,-0.4,0.4,0.39999828,-0.002157282655888104,-0.002157282655888104
2023-06-09,0.9813959400079947,-0.01648233439022584,0.4,0.4,-0.4,0.39999998,-0.4,0.4,0.4,0.4,0.4,0.39999905,0.4,-0.4,0.4,0.39999822,-0.018604059992005317,-0.018604059992005317
2023-06-12,0.9820767402923677,0.0006937060330283185,0.4,0.4,-0.4,0.39999998,-0.4,0.4,0.4,0.4,0.4,0.3999991,0.4,-0.4,0.4,0.39999834,-0.01792325970763231,-0.01792325970763231
2023-06-13,0.9828523430573166,0.0007897577990880755,0.4,0.4,-0.4,0.39999998,-0.4,0.4,0.4,0.4,0.4,0.39999923,0.4,-0.4,0.4,0.3999984,-0.017147656942683387,-0.017147656942683387
2023-06-14,0.984957166748464,0.002141546190549848,0.4,0.4,-0.4,0.39999998,-0.4,0.4,0.4,0.4,0.4,0.399999,0.4,-0.4,0.4,0.39999822,-0.015042833251535992,-0.015042833251535992
2023-06-15,1.036199663484944,0.05202510166573182,0.4,0.4,-0.4,0.39999998,-0.4,0.4,0.4,0.4,0.4,0.39999896,0.4,-0.4,0.4,0.39999816,0.03619966348494397,0.0
2023-06-16,1.033576804588224,-0.0025312292496783018,0.4,0.4,-0.4,0.39999998,-0.4,0.4,0.4,0.4,0.4,0.399999,0.4,-0.4,0.4,0.3999983,0.033576804588224096,-0.00253122924967827
2023-06-20,1.0180264964783023,-0.01504514037166016,0.4,0.4,-0.4,0.39999998,-0.4,0.4,0.4,0.4,0.4,0.3999991,0.4,-0.4,0.4,0.39999846,0.018026496478302345,-0.017538286921964127
2023-06-21,1.0271951754208404,0.009006326430849976,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999923,0.4,-0.4,0.4,0.39999864,0.02719517542084038,-0.008689916028171363
